id,npc_vertical_before,npc_horizontal_before,npc_behavior_before,pedestrian_vertical_before,pedestrian_horizontal_before,pedestrian_direction_x_before,pedestrian_direction_y_before,pedestrian_speed_before,weather_sun_angle_before,weather_fog_density_before,npc_vertical_n,npc_horizontal_n,npc_behavior_n,pedestrian_vertical_n,pedestrian_horizontal_n,pedestrian_direction_x_n,pedestrian_direction_y_n,pedestrian_speed_n,weather_sun_angle_n,weather_fog_density_n,npc_vertical_rp,npc_horizontal_rp,npc_behavior_rp,pedestrian_vertical_rp,pedestrian_horizontal_rp,pedestrian_direction_x_rp,pedestrian_direction_y_rp,pedestrian_speed_rp,weather_sun_angle_rp,weather_fog_density_rp,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence,npc_vertical,npc_horizontal,npc_behavior,pedestrian_vertical,pedestrian_horizontal,pedestrian_direction_x,pedestrian_direction_y,pedestrian_speed,weather_sun_angle,weather_fog_density
generation_0_individual_1_cell_0,0.2524542389013827,0.0057862039692255,0.951453236003075,0.6852175274655583,0.5485705404426715,0.7367168084290313,0.6313756560639433,0.1528839603799454,0.2084970140252533,0.5408378413054896,False,False,False,False,False,True,True,True,True,True,0.2525175222481955,0.2411284490974411,0.7316982679868576,0.8322851277089607,0.697922767705591,0.9875991814984816,0.908032965627582,0.4428285658823008,0.6066381159754349,0.5694000400889057,False,False,False,False,False,False,False,False,False,False,0.2524542389013827,0.0057862039692255,0.951453236003075,0.6852175274655583,0.5485705404426715,0.7367168084290313,0.6313756560639433,0.1528839603799454,0.2084970140252533,0.5408378413054896
generation_0_individual_2_cell_0,0.2524542389013827,0.0057862039692255,0.6853511492336254,0.0231833422281693,0.5485705404426715,0.7367168084290313,0.6956084892001605,0.7380910416358764,0.7493268895871062,0.6832198700688634,True,True,False,False,False,False,False,False,False,False,0.7082395513453845,0.8135094026782499,0.1676589112831976,0.8567518890827407,0.7213349655188983,0.9310243047621436,0.5836076877545998,0.2636506872449493,0.651386144617489,0.0777121640241178,False,False,False,False,False,False,False,False,False,False,0.2524542389013827,0.0057862039692255,0.6853511492336254,0.0231833422281693,0.5485705404426715,0.7367168084290313,0.6956084892001605,0.7380910416358764,0.7493268895871062,0.6832198700688634
generation_0_individual_3_cell_0,0.2152224835840273,0.8986055827581503,0.3602802841718103,0.1808874893083031,0.0,0.995005006506128,0.6313756560639433,0.1528839603799454,0.2084970140252533,0.5408378413054896,False,False,False,True,True,True,False,False,False,False,0.2911349396874969,0.0794717960307431,0.4318802397543978,0.0679083767119664,0.0964253962038457,0.9954620117903008,0.3859318226847031,0.6792895845737307,0.8646219191332989,0.9264853681569964,False,False,False,False,True,False,False,False,False,False,0.2152224835840273,0.8986055827581503,0.3602802841718103,0.1808874893083031,0.0,0.995005006506128,0.6313756560639433,0.1528839603799454,0.2084970140252533,0.5408378413054896
generation_0_individual_4_cell_0,0.1974590804221621,0.1127189289809839,0.0823633554749443,0.6852836796220283,0.5485705404426715,0.7367168084290313,0.6313756560639433,0.1119816258662825,0.3051431521361775,0.9462673574193472,False,False,False,False,True,True,True,False,False,False,0.421499603892995,0.2663733286334919,0.4051791957760544,0.118687554416908,0.6121447908041225,0.2551321772666451,0.4406800741926575,0.6683482180379723,0.9842958407941532,0.1531402093531828,False,False,False,False,False,False,False,False,False,False,0.1974590804221621,0.1127189289809839,0.0823633554749443,0.6852836796220283,0.5485705404426715,0.7367168084290313,0.6313756560639433,0.1119816258662825,0.3051431521361775,0.9462673574193472
generation_0_individual_5_cell_0,0.2524542389013827,0.0057862039692255,0.3602802841718103,0.0231833422281693,0.4296344561972878,0.2916719294903397,0.8499861712222833,0.1528839603799454,0.2084970140252533,0.5408378413054896,False,False,False,False,False,False,False,False,False,False,0.8745047590359264,0.946240116197998,0.3864796568759139,0.9019137233681342,0.6904721163056862,0.7314609571247727,0.5464621933347413,0.389980271071038,0.782371755460298,0.2970367951928205,False,False,False,False,False,False,False,False,False,False,0.2524542389013827,0.0057862039692255,0.3602802841718103,0.0231833422281693,0.4296344561972878,0.2916719294903397,0.8499861712222833,0.1528839603799454,0.2084970140252533,0.5408378413054896
generation_0_individual_6_cell_0,0.8725239142505224,0.864181679236449,0.3602802841718103,0.0231833422281693,0.5485705404426715,0.7367168084290313,0.6313756560639433,0.1528839603799454,0.2084970140252533,0.5408378413054896,False,False,False,False,False,False,False,False,False,False,0.430208897174441,0.969232791828772,0.2058017893039517,0.9748208695961236,0.235248892054827,0.7654516902321786,0.1455808990917608,0.8847518071170032,0.6782013511918482,0.6164051344678035,False,False,False,False,False,False,False,False,False,False,0.8725239142505224,0.864181679236449,0.3602802841718103,0.0231833422281693,0.5485705404426715,0.7367168084290313,0.6313756560639433,0.1528839603799454,0.2084970140252533,0.5408378413054896
generation_0_individual_7_cell_0,0.2524542389013827,0.0057862039692255,0.807940616264589,0.024699556521267,0.2566038970595821,0.2602727866690474,0.8984453863175919,0.626108023380681,0.6362805417383043,0.2792530693703813,True,True,False,False,False,False,False,False,False,False,0.6882983642213365,0.6169628752727359,0.8991930712524371,0.0419572148619048,0.3045127591730803,0.675548211947635,0.3792541981603498,0.4851821224534645,0.7968632006234224,0.9779780347009196,False,False,False,False,False,False,False,False,False,False,0.2524542389013827,0.0057862039692255,0.807940616264589,0.024699556521267,0.2566038970595821,0.2602727866690474,0.8984453863175919,0.626108023380681,0.6362805417383043,0.2792530693703813
generation_0_individual_8_cell_0,0.4950959681305114,0.5938060253857221,0.0823633554749443,0.6852836796220283,0.4296344561972878,0.2916719294903397,0.8499861712222833,0.1119816258662825,0.3051431521361775,0.3565676490009312,False,False,False,False,False,False,True,True,True,False,0.9833663634237346,0.3339581290869611,0.1415263377096797,0.4379969158669192,0.5862992559155951,0.7480901395839324,0.383585502583185,0.735304296152342,0.7319549428866611,0.8281175661923258,False,False,False,False,False,False,False,False,False,False,0.4950959681305114,0.5938060253857221,0.0823633554749443,0.6852836796220283,0.4296344561972878,0.2916719294903397,0.8499861712222833,0.1119816258662825,0.3051431521361775,0.3565676490009312
generation_0_individual_9_cell_0,0.1974590804221621,0.1127189289809839,0.6450465828828372,0.3212255940824386,0.627609268768136,0.8003677666896072,0.2817317874973725,0.031912283347832,0.1844190336477805,0.9462673574193472,False,False,True,True,True,True,True,True,False,False,0.7357652256841967,0.1821011743279799,0.9249858099018764,0.0848551637321302,0.7791171117128252,0.1526008135207932,0.9672179037909956,0.8155080601297271,0.7364327499506612,0.7759196099461957,False,False,False,False,False,False,False,False,False,False,0.1974590804221621,0.1127189289809839,0.6450465828828372,0.3212255940824386,0.627609268768136,0.8003677666896072,0.2817317874973725,0.031912283347832,0.1844190336477805,0.9462673574193472
generation_0_individual_10_cell_0,0.93421413221329,0.5691226181256159,0.6853511492336254,0.6099664367968702,0.7615878492646913,0.2642011289282524,0.4077111445231968,0.6119517239255622,0.883100977221447,0.5938902161046234,True,True,False,False,True,True,True,True,True,True,0.5454486806050014,0.6581292400137319,0.3054862854064268,0.175300364468806,0.1673035919351442,0.6916728966159464,0.8579527592763289,0.3558731665199993,0.1559009280005173,0.6778502697229811,False,False,False,False,False,False,False,False,False,False,0.93421413221329,0.5691226181256159,0.6853511492336254,0.6099664367968702,0.7615878492646913,0.2642011289282524,0.4077111445231968,0.6119517239255622,0.883100977221447,0.5938902161046234
