id,npc_vertical_before,npc_horizontal_before,npc_behavior_before,pedestrian_vertical_before,pedestrian_horizontal_before,pedestrian_direction_x_before,pedestrian_direction_y_before,pedestrian_speed_before,weather_sun_angle_before,weather_fog_density_before,npc_vertical_n,npc_horizontal_n,npc_behavior_n,pedestrian_vertical_n,pedestrian_horizontal_n,pedestrian_direction_x_n,pedestrian_direction_y_n,pedestrian_speed_n,weather_sun_angle_n,weather_fog_density_n,npc_vertical_rp,npc_horizontal_rp,npc_behavior_rp,pedestrian_vertical_rp,pedestrian_horizontal_rp,pedestrian_direction_x_rp,pedestrian_direction_y_rp,pedestrian_speed_rp,weather_sun_angle_rp,weather_fog_density_rp,npc_vertical_silence,npc_horizontal_silence,npc_behavior_silence,pedestrian_vertical_silence,pedestrian_horizontal_silence,pedestrian_direction_x_silence,pedestrian_direction_y_silence,pedestrian_speed_silence,weather_sun_angle_silence,weather_fog_density_silence,npc_vertical,npc_horizontal,npc_behavior,pedestrian_vertical,pedestrian_horizontal,pedestrian_direction_x,pedestrian_direction_y,pedestrian_speed,weather_sun_angle,weather_fog_density
generation_0_individual_1_cell_0,0.7797556831726224,0.3851093347036441,0.659776822473119,0.0303799483752679,0.8713351512406514,0.6590898859541972,0.9415102835388828,0.6442055629285917,0.4813775261809736,0.6884221894329441,True,True,False,False,False,True,True,True,False,False,0.4356932529391846,0.9927072107088628,0.4131736209347421,0.495030213756201,0.5194923437851707,0.3852574023855085,0.3303934321712497,0.3117031631720929,0.4793356889883049,0.5270274065573105,False,False,False,False,False,False,False,False,False,False,0.7797556831726224,0.3851093347036441,0.659776822473119,0.0303799483752679,0.8713351512406514,0.6590898859541972,0.9415102835388828,0.6442055629285917,0.4813775261809736,0.6884221894329441
generation_0_individual_2_cell_0,0.7240580803837933,0.3821900081879913,0.7125735983973904,0.3789554315277521,0.2979301876468579,0.0,0.3239186158770384,0.3537951701888518,0.3126200103062339,0.850523852941869,False,False,False,False,False,True,True,True,False,False,0.4085122324440784,0.5028284787155134,0.0214718878956092,0.7494992352633733,0.3827021227199586,0.0559532323447319,0.5431703494659982,0.3298184534389732,0.1543651225088498,0.958681454651406,False,False,False,False,False,True,False,False,False,False,0.7240580803837933,0.3821900081879913,0.7125735983973904,0.3789554315277521,0.2979301876468579,0.0,0.3239186158770384,0.3537951701888518,0.3126200103062339,0.850523852941869
generation_0_individual_3_cell_0,0.1696356160597063,0.215564467019248,0.8491113166148512,0.7134409637537573,0.05722842312524,0.9785530934442696,0.0,0.3986783160591728,0.149890576069691,0.2813561151225952,False,True,True,True,True,True,True,True,True,True,0.6102848267779138,0.3257423230909884,0.4345254433537674,0.4898778444981124,0.3175895541583317,0.3293256346969538,0.0798457857915985,0.487127257214524,0.5731542796867841,0.5671233140321883,False,False,False,False,False,False,True,False,False,False,0.1696356160597063,0.215564467019248,0.8491113166148512,0.7134409637537573,0.05722842312524,0.9785530934442696,0.0,0.3986783160591728,0.149890576069691,0.2813561151225952
generation_0_individual_4_cell_0,0.1696356160597063,0.3821900081879913,0.5675717386833455,0.9825085321573268,0.8173655694302574,0.7479440498130173,0.3239186158770384,0.3537951701888518,0.3126200103062339,0.850523852941869,True,True,False,False,False,False,False,False,True,True,0.026174631259192,0.2705282086896032,0.8087533496982314,0.5767752176258614,0.6839437388472359,0.7805790800312746,0.3841983942064891,0.1830492383011709,0.0992082485003362,0.790149670008865,False,False,False,False,False,False,False,False,False,False,0.1696356160597063,0.3821900081879913,0.5675717386833455,0.9825085321573268,0.8173655694302574,0.7479440498130173,0.3239186158770384,0.3537951701888518,0.3126200103062339,0.850523852941869
generation_0_individual_5_cell_0,0.2918241741686825,0.7715361078097065,0.7125735983973904,0.3789554315277521,0.2979301876468579,0.7986380376947084,0.6514630608149483,0.6163102000152927,0.6486863292465687,0.8563512603724861,True,True,False,False,False,False,True,True,True,False,0.6368420718571041,0.4047976185324249,0.2309123680172256,0.1652464104116641,0.6987863954445753,0.7187305140925896,0.2010802626775722,0.2643810652385413,0.2973158323979518,0.6859407496788907,False,False,False,False,False,False,False,False,False,False,0.2918241741686825,0.7715361078097065,0.7125735983973904,0.3789554315277521,0.2979301876468579,0.7986380376947084,0.6514630608149483,0.6163102000152927,0.6486863292465687,0.8563512603724861
generation_0_individual_6_cell_0,0.420069350634316,0.6803788252680971,0.9787022411433318,0.9197436728734524,0.9641368735745296,0.889951217876777,0.2682118934722463,0.1148551061771822,0.5275940924065012,0.8265699659120512,True,True,False,False,False,False,False,False,True,True,0.5832957677034533,0.1219382193345869,0.7923060847862197,0.8839005855635231,0.149379403183252,0.1849392019045881,0.2731624056608651,0.2360550701040629,0.9082194230810038,0.6697465579346368,False,False,False,False,False,False,False,False,False,False,0.420069350634316,0.6803788252680971,0.9787022411433318,0.9197436728734524,0.9641368735745296,0.889951217876777,0.2682118934722463,0.1148551061771822,0.5275940924065012,0.8265699659120512
generation_0_individual_7_cell_0,0.6675053466686464,0.562909598560464,0.2973548846661044,0.5764371663701359,0.1970443076122581,0.2149750764900841,0.8411608993674636,0.2367711561868157,0.7912159575771592,0.2238353208570226,False,False,False,False,False,True,True,True,False,False,0.7626108559339525,0.5999518379032417,0.8032359617016732,0.9072089241142088,0.544592178652667,0.9234529089506506,0.9148939647857488,0.8663012854374745,0.52548476822958,0.8886194716055712,False,False,False,False,False,False,False,False,False,False,0.6675053466686464,0.562909598560464,0.2973548846661044,0.5764371663701359,0.1970443076122581,0.2149750764900841,0.8411608993674636,0.2367711561868157,0.7912159575771592,0.2238353208570226
generation_0_individual_8_cell_0,0.6639536248562738,0.4562491122025174,0.0672510010665581,0.0550904232135056,0.6215059089066997,0.6527755605327529,0.0,0.2296216067664352,0.3399229160258136,0.4466135857502296,False,False,False,False,False,True,True,True,False,False,0.8946062524187397,0.83523323924024,0.6332732962682035,0.1432060908559359,0.0799765319882956,0.737431396938445,0.0257857033849141,0.7447304024534921,0.2273767217313805,0.2203547331458561,False,False,False,False,False,False,True,False,False,False,0.6639536248562738,0.4562491122025174,0.0672510010665581,0.0550904232135056,0.6215059089066997,0.6527755605327529,0.0,0.2296216067664352,0.3399229160258136,0.4466135857502296
generation_0_individual_9_cell_0,0.7797556831726224,0.3851093347036441,0.0274952746100681,0.0303799483752679,0.8713351512406514,0.6590898859541972,0.9415102835388828,0.6442055629285917,0.5792087618871177,0.2487105974113925,True,True,True,True,True,False,False,False,False,False,0.2634459482207967,0.0654548909135672,0.8195901177490239,0.2196718184750156,0.9277761807749526,0.7025174727460409,0.6809246126495762,0.8617936540556431,0.4998062337223338,0.3641181453297013,False,False,False,False,False,False,False,False,False,False,0.7797556831726224,0.3851093347036441,0.0274952746100681,0.0303799483752679,0.8713351512406514,0.6590898859541972,0.9415102835388828,0.6442055629285917,0.5792087618871177,0.2487105974113925
generation_0_individual_10_cell_0,0.7797556831726224,0.3851093347036441,0.0274952746100681,0.7134409637537573,0.05722842312524,0.9785530934442696,0.5436888211951104,0.6442055629285917,0.3399229160258136,0.4466135857502296,False,False,False,False,False,False,False,False,False,False,0.0581235424251208,0.6416729340747435,0.7620485921378406,0.3287614809039688,0.9170529456097012,0.5006818744823012,0.3870322688390173,0.0587694266213938,0.8599580909502287,0.337325128317233,False,False,False,False,False,False,False,False,False,False,0.7797556831726224,0.3851093347036441,0.0274952746100681,0.7134409637537573,0.05722842312524,0.9785530934442696,0.5436888211951104,0.6442055629285917,0.3399229160258136,0.4466135857502296
